id,createdAt,hs_object_id,rep_name,call_type,outcome,duration,phone_number
90f225ac-6b21-4ae4-9741-1966353b3c2e,2025-04-20 03:33:27,693457,Ryan Chavez,Inbound,No Answer,1781,001-280-347-6719
885ebdd8-3a63-4bd6-bb71-2c102c66e236,2025-07-21 20:55:18,851499,Christopher Wells,Outbound,No Answer,1794,(455)866-9049x242
a0c65ffa-188d-419f-9278-c311f07d8b5e,2025-03-29 13:35:16,483345,David Whitehead,Inbound,Connected,365,001-348-904-1812x06389
52492661-0ade-43eb-9ce4-52f7aa8d4fec,2025-08-01 00:35:28,949707,Brandon Rogers,Inbound,Voicemail,727,570.888.2549x72286
bdd18a58-ed2f-443c-a702-b4a6ed99cb5a,2025-06-08 12:18:36,259873,Brian Leach,Inbound,No Answer,1108,279.551.6869x744
c58c22bf-eece-4b0c-b52c-02c0501d6984,2025-08-03 04:58:12,872637,David Wang MD,Outbound,Busy,529,(777)842-0883
11bbcb76-c44c-4069-9f9c-c293aaf5fe42,2025-08-02 17:40:12,601092,Charles Beard,Outbound,No Answer,929,321.875.7893x902
92602351-cb3e-46fb-a503-d419594a2577,2025-06-26 04:53:24,939413,Matthew Phillips,Inbound,Connected,795,6808818038
130367df-38ca-4b2b-bc93-3f00211c1288,2025-04-16 06:17:24,227907,Jennifer Jenkins,Outbound,Busy,565,(904)858-7340x407
261b87f4-2882-4748-87a1-0a585bfc6073,2025-06-27 13:01:35,771626,Greg Morris,Inbound,Connected,191,786-363-8365x038
7a01cd9d-7bdd-4cf7-b7c8-709504295b77,2025-06-22 23:39:31,884900,Tina Murray,Inbound,No Answer,1723,001-851-471-2547
9058e3c6-5a70-4f85-80e0-89d5ff1682ec,2025-07-29 20:56:00,449168,Edward Lowe,Inbound,Busy,623,(346)497-4919x8253
cdf49d1c-a0a9-40ab-822e-32a88b3922e3,2025-01-18 23:55:30,152860,Eric Medina,Inbound,Voicemail,188,(715)327-8575x10626
2771cb55-b1e6-429e-9fbb-c4ae782ad114,2025-01-12 06:47:28,313776,Kurt Mitchell,Inbound,Voicemail,1241,6082840990
b287412c-aba1-4fff-8b8a-54fa2ebdd2f6,2025-02-23 22:50:51,381611,Richard Jones,Outbound,Busy,89,585.892.8342x389
3253e51d-1680-420f-807a-e72fdab04d39,2025-03-04 07:05:50,655707,Eric Mason,Inbound,Busy,944,5515948681
e7547670-c69d-4773-bb5f-e63cf566e491,2025-01-31 05:16:51,148493,Joseph Park,Outbound,Connected,1372,948-453-8036
e3e93744-5afb-48a9-883a-94b260ba592e,2025-01-20 15:23:59,500294,Wayne Williamson,Outbound,Busy,240,992.240.2986x917
89a31b06-2269-467b-8933-8918609dc878,2025-08-04 09:58:30,909484,James Peterson,Inbound,Connected,435,573-859-2462x206
4cd2002b-d228-4629-aca4-13a733ae14d5,2025-02-09 19:46:12,324766,Suzanne Hendricks,Inbound,No Answer,693,423.632.2794x88173
2713598a-87c4-43c7-9dc5-3719a0e6341e,2025-07-12 05:29:13,573877,Nicholas Orr,Outbound,Connected,1162,933-991-0419x020
45c31033-771d-466e-b83a-763848d9d695,2025-04-20 09:25:33,704483,Cheryl Fox,Outbound,Busy,1129,7398679207
8e3d3ed6-ebe2-49f8-afea-508bc55dd555,2025-03-22 03:11:15,174457,Henry Burns,Outbound,Busy,571,600-311-1951x8006
fd404e41-0579-446e-bdbb-58949d0f0e7a,2025-08-05 22:46:27,556575,Susan Dawson,Inbound,No Answer,1367,+1-866-437-6262x2155
f45e162c-23e6-4731-86e5-0cbdf52db5db,2025-03-06 04:35:11,145928,Michelle Morrison,Outbound,Busy,1027,001-393-551-2849x03698
41149f44-3be0-4ac7-aed0-1f9d54d4b924,2025-05-29 06:45:31,579239,Rachel Williams,Inbound,Busy,1170,908-789-3253
d3da1aa8-c574-4c94-97fc-73d6599acb9a,2025-06-12 18:01:05,731725,Glenn Zimmerman,Inbound,Voicemail,956,+1-913-464-6933x40773
cda457cf-0745-4843-b7f0-5c55a397909c,2025-02-14 04:45:44,827807,Chad Villegas,Inbound,Voicemail,897,001-335-957-7600x9682
230e407b-6435-4b35-92b6-ec66d35957ec,2025-07-11 11:45:07,893799,Clayton Jacobson,Outbound,No Answer,1757,(947)277-5994
be85ddd0-1954-45d4-bebc-c9aa2a2bf1d3,2025-01-10 11:57:32,928785,Matthew Navarro,Inbound,Connected,48,(374)406-2552
c89283fd-4344-4bf4-996b-271e7ec245dc,2025-03-29 23:09:45,173925,Austin Smith,Inbound,Voicemail,461,969.242.1901x74845
b4f14583-152a-43fd-81e3-587688eebacc,2025-07-07 06:39:32,178236,Rebecca Brown,Inbound,Connected,1738,633.428.2764x06948
7b344272-85cb-463d-b821-ece9e62944cc,2025-06-04 00:05:13,517298,Angela Reyes,Inbound,Busy,769,(449)249-5182
cb9cf25e-8b29-4927-8949-1606638ed2ae,2025-03-14 14:28:44,118045,Jeanne Smith,Inbound,Voicemail,1403,695.324.9269x24342
b94cbcbc-0308-408b-b8d9-b369ba3ea826,2025-01-17 13:41:20,103226,Bryan Torres,Outbound,No Answer,212,8795013351
45497f29-f42f-4120-ba45-646fb61885bf,2025-04-20 21:15:36,783346,Dawn Morse,Inbound,No Answer,142,396.813.6380
2544d902-85e7-49a2-bbf4-21d54ab50d09,2025-01-30 05:21:19,778821,Sandra Cohen,Inbound,No Answer,1236,416.492.7202x152
43839b5b-cc94-4ceb-83f8-b3713708aff9,2025-05-02 10:35:51,212605,Stephanie Lewis,Outbound,Voicemail,510,497.659.6640
9e7a7a36-6799-4e85-92a9-ef7c4a4df5d7,2025-05-25 13:03:20,533595,Jeremy Deleon,Inbound,Connected,1199,+1-747-868-8257x40668
e00b6f0e-cfc7-4327-ba31-6cd5721953e4,2025-02-01 14:13:36,872805,Sharon Williams,Outbound,Busy,860,499.619.2079
af72d906-5cb8-428f-b1a6-f70a4960a6a7,2025-07-28 14:58:25,700338,Jennifer Watkins,Inbound,Connected,1681,270.300.0366x616
8a11c64d-5664-484b-8c9b-df938c87eea2,2025-01-06 04:02:19,492602,Julia Hogan,Outbound,Connected,1166,329-933-2616x7512
8aa75ebd-9597-4872-80c9-7b9de8b7df62,2025-02-01 10:16:33,586790,Michael Hancock,Outbound,Busy,792,+1-774-556-2206x4338
7807d3df-4be7-46fa-a361-bd71eb185d95,2025-06-02 01:51:11,654211,Brooke Woodward,Inbound,Busy,505,8508152069
c197c9d5-b079-40b7-ad08-7df998eb0590,2025-06-15 07:16:27,794274,Robert Hunt,Inbound,Voicemail,792,927-298-8137x68300
6237bc5f-81d5-4baf-a276-9ca56578d02c,2025-01-27 21:12:04,977345,Bryan Mann,Inbound,Voicemail,1356,525.700.8675x14325
a58779d3-c388-4776-a16c-cdbf3c34df26,2025-08-07 05:15:06,905908,Allen Sims,Outbound,Voicemail,1000,(228)681-7480
af9c42e1-6040-4ece-8ce2-a392c872b7cb,2025-06-12 07:49:26,686732,Eric Adkins,Outbound,Voicemail,1049,(470)301-0852x02597
3d643e12-159f-4e80-bb0a-1d840cebd412,2025-06-04 08:07:13,849646,Jacob Fernandez,Outbound,Voicemail,1171,+1-342-925-2294x71908
a7f5d0fd-3166-4ba3-b583-88664dfbaaaf,2025-06-25 20:05:43,542604,Amanda Williams,Inbound,Busy,190,+1-812-308-4815x97467
5fdff019-c33d-4cfe-be67-2edcaf98df47,2025-07-11 18:47:51,971833,Stephanie Garcia,Outbound,Connected,430,277.898.8148x2116
07782562-f1f2-4a3a-afd4-07d31e995519,2025-01-21 00:50:08,452085,Tina Hill,Outbound,Voicemail,227,(201)842-1973x5779
400cebe4-a553-49d1-9b6b-a6b9f350a601,2025-07-26 10:34:51,750027,Laura Gonzalez,Inbound,Voicemail,1313,524-632-1933x4678
153a217c-18a2-4b8a-8fa8-6b7f5b324823,2025-05-19 09:16:23,753111,Gary Weeks,Outbound,Connected,689,618.772.8081x8518
2f212fb3-1673-4462-ad8c-d0e99da2bfe0,2025-03-28 02:45:54,171647,Justin Ramsey,Outbound,Voicemail,1100,+1-502-473-0279x087
2c17d49b-8531-4c1e-804c-6441775e8646,2025-07-25 09:26:44,390747,Steven Francis,Inbound,Connected,428,558-557-5720x479
584bc277-b26e-45cd-82a4-68bafe7ae330,2025-06-02 02:15:11,283523,Alicia Martinez,Outbound,Connected,1763,4679035154
d01061d5-8d9d-4f23-be77-d1f63476f551,2025-07-13 22:12:11,157283,Laura Huerta,Inbound,Busy,1612,508.917.3356x1315
348d57b8-0988-4c8f-9f3c-2fab550c85ec,2025-08-08 05:38:24,567203,Seth Flores,Inbound,No Answer,107,+1-675-441-1267x864
c583a80e-565b-46ee-ba35-95f3c1c615fb,2025-01-27 21:34:44,121724,Sean Mcclure,Inbound,Busy,153,(640)770-3241x51009
b4806df6-1516-4afe-b5eb-eafbff3ead2d,2025-02-17 13:20:23,208925,Douglas Taylor,Inbound,No Answer,104,001-670-831-3847
7894d228-3f88-4e0d-946c-35fc936f6915,2025-05-10 19:19:56,447333,Christine Lucero,Inbound,No Answer,166,271-802-1715x891
9ae5d45d-8d44-4198-bb8e-69e22b34eb13,2025-07-19 20:45:26,232739,Joshua Herrera,Outbound,No Answer,631,717.264.8729x874
f2b73b4c-52fc-4ef2-a565-e90da261f882,2025-05-19 12:16:16,460424,Jeffrey Vaughn,Outbound,Voicemail,1453,(323)349-5675x4788
96be7f60-fe0b-459b-a994-994f9d800b99,2025-03-30 02:52:44,302077,Harold Sandoval,Inbound,Busy,866,(406)933-6959x03922
e6d7bc56-c0a9-44a5-8361-dec83cd0b98c,2025-02-16 23:30:47,485233,Corey Reed,Inbound,No Answer,1558,001-929-698-4994x799
b97bb2de-1c75-40fc-bb0c-3a80eb7f5c37,2025-07-09 04:34:58,222063,Angela Petty,Outbound,Connected,529,001-641-311-1645x298
8eab2b59-45bf-4d19-ba61-f1f1ff473621,2025-08-02 14:18:15,146172,John Gates,Inbound,Voicemail,1626,929.459.7703
dce16150-96d9-4e15-9605-565d3f0d0d43,2025-08-03 19:59:28,715311,Larry Weaver,Inbound,Busy,167,640-661-2639x223
973a3cf3-1d4d-4ce2-bb87-bbae4cd5f8a0,2025-06-17 21:11:48,420075,Ruth Taylor,Inbound,No Answer,79,(577)285-5531x691
6d7cf7ec-df6d-4b6e-a93a-cd36236b3cb2,2025-02-08 03:48:51,575838,Joshua Williams,Outbound,Connected,1002,+1-712-873-5104x9117
e24e263f-c228-43b5-9729-ec641b7d1901,2025-06-05 19:14:44,180211,Sonya Marquez,Outbound,Busy,1672,(305)959-4455
5e82775f-1a85-42d6-b185-724268bed5ca,2025-03-25 23:56:57,323555,Amanda Brown MD,Inbound,Busy,1678,+1-578-293-5356x192
cd0cfbca-a9e4-42ae-918c-96146614e82f,2025-02-20 05:18:38,238846,William Myers,Inbound,Voicemail,283,(850)839-7734
a31c9c65-986d-4f57-85a2-2cb2ac3d52af,2025-04-10 11:02:27,103160,Theresa Walker,Outbound,Busy,1683,388.786.6475
924e71a4-68bf-401c-bfeb-32539f0f8bcb,2025-03-02 11:46:38,555327,Lisa Henry,Outbound,Voicemail,739,963.714.5645x50636
209c9d09-3542-4e56-90c5-e8108011a99e,2025-05-09 22:11:14,645622,Alexis Phelps,Inbound,No Answer,592,4493809167
872aea21-fa5b-49da-b6cf-0fca0a140411,2025-06-13 00:50:10,593649,Amanda Ortiz,Inbound,Voicemail,786,001-429-985-7452x4718
691451c7-0112-4444-97f3-ab173727fce8,2025-04-22 02:39:54,453333,Michael Robles,Outbound,Connected,1479,+1-707-629-0135
d0c90473-6e7f-494e-bbce-5fd7f3542bda,2025-05-17 07:11:16,862172,Alexander Pugh,Outbound,Voicemail,576,976-974-8388x65805
9abf978e-6085-481c-aff3-17a1e2abcbfd,2025-07-21 12:05:01,491532,Cole Romero,Outbound,Connected,1355,(498)994-2731x247
f07fe2bc-9293-4e95-a16c-e268ef1d6220,2025-04-30 19:35:33,798298,Troy Collins,Inbound,Voicemail,951,584-964-2810
be8bb98c-a73b-4ce7-bec7-4273940b69e2,2025-05-01 10:25:29,387663,David Tran,Outbound,Busy,610,+1-565-411-9679
b9888809-20f0-451f-8cf2-e5b6677d0cb1,2025-07-21 04:51:59,548623,Kimberly Glass,Inbound,No Answer,1402,001-595-972-1730x81093
71b85ef5-c1ed-477c-9741-0f7910d5fb96,2025-01-24 01:46:08,381133,Charles Armstrong,Outbound,Connected,78,+1-505-222-0149x2122
f3b3f828-65c9-4b9a-914a-d947ead7aea3,2025-03-03 10:19:03,495907,Mike Mason,Outbound,Voicemail,946,+1-891-791-7518x66862
495c8aad-40ff-47a2-adf7-824f9288f268,2025-06-28 21:45:51,479400,Jeffrey Mitchell,Outbound,Voicemail,1127,(263)820-2406x418
0ca20c37-9242-4991-93bb-0e1ca6143c58,2025-03-05 15:59:51,887449,John Spence,Outbound,Voicemail,733,(229)765-1233
81b12d9b-6e54-495b-a3e4-bfeaff93f0b3,2025-06-13 11:37:02,906836,Adam Luna,Inbound,Busy,290,(366)893-3307
addd3402-a56c-4505-86dc-973ac14f92e4,2025-05-08 09:54:09,106530,Patrick Smith Jr.,Inbound,Busy,385,(431)429-3548x814
f327f737-a587-4b74-8a1a-7b042e0de0a6,2025-05-11 01:03:14,314923,Dr. Anthony English,Outbound,Connected,1635,+1-517-503-8344x484
e2ac4d2d-12fb-4ba4-bc22-99e381e7012e,2025-07-28 18:30:24,951084,Michelle Huerta,Inbound,Connected,1655,001-602-386-4371
9ef99ba5-066e-40dd-a55a-6871e62285ee,2025-05-25 05:46:59,671651,Elizabeth Hughes,Outbound,Busy,1313,001-320-537-4660
7385f8af-197c-4293-a82c-7ecfabb37176,2025-03-01 12:13:17,993884,Gregory Perez,Outbound,Connected,667,386.392.6518x66564
8eeeba1d-f602-4cc9-b24c-a7ca7de3064f,2025-06-13 01:17:44,591971,Ricardo Brown,Outbound,No Answer,772,001-464-491-3567x939
224b3e2f-11d3-45c1-a052-bcafd7e06456,2025-03-26 04:35:18,965075,Pamela Jackson,Outbound,No Answer,1348,7033071851
230324c7-4197-45a3-b6f2-ebb7f8e33cc4,2025-05-24 15:22:53,731981,Michael Edwards,Inbound,Busy,1039,313-269-8809
db2a1480-5fde-422e-a6f1-384ba1a21410,2025-04-05 15:22:01,832006,Vincent Huffman,Outbound,Connected,960,(280)840-0375x26046
3fa883cb-5862-49db-a071-b7f0253d5904,2025-04-02 11:14:44,446774,Sarah Smith,Outbound,Voicemail,670,6474733746
4b940bdd-16b5-4c42-9ab6-3cffded73254,2025-01-12 15:39:31,656124,Thomas Burgess,Inbound,No Answer,821,(340)448-7481x896
